,Population,Election Date,Winner/Notes
""
Oklahoma
Muskogee,37402,02/11/2020,Runoff: Marlon Coleman vs. Wayne Divelbiss 6/30/2020
California
Pasadena,141371,03/03/2020,Runoff: Mayor Tornek vs. Victor Gordo 11/3/2020
Arizona
Tempe,192364,03/10/2020,Corey Woods (57%).  Will take office 7/2/2020.
New Jersey
Montclair,38676,05/12/2020,Sean Spiller (52.7%)
California
Bell,35728,05/13/2020,
Oregon
Beaverton,98962,05/19/2020,
Portland,653115,05/19/2020,Runoff:  Mayor Wheeler vs. Sarah Iannarone 11/3
Salem,173442,05/19/2020,
Springfield,62979,05/19/2020,
Virginia
Chesapeake,242634,05/19/2020,
Hampton,134313,05/19/2020,
Norfolk,244076,05/19/2020,
Roanoke,99920,05/19/2020,
California
Riverside,330063,06/02/2020,
San Diego,1425976,06/02/2020,
Missouri
Blue Springs,55104,06/02/2020,
Joplin,50657,06/02/2020,
St. Peters,57127,06/02/2020,
Wentzville,41164,06/02/2020,
Wildwood,35517,06/02/2020,
California
Arcadia,58610,06/09/2020,
Sacramento,508529,06/09/2020,
Georgia
Macon,153095,06/09/2020,
Maryland
Somerset,1280,06/09/2020,Mayor Slavin will run unopposed.
North Dakota
Grand Forks,56948,06/09/2020,
West Virginia
Wheeling,26771,06/09/2020,
Louisiana
Monroe,47877,06/20/2020,
Oklahoma
Shawnee,31434,06/30/2020,
California
Calexico,40139,07/01/2020,
Florida
Plant City,39156,07/01/2020,
New Jersey
Teaneck Township,40619,07/01/2020,
Virginia
Danville,40693,07/01/2020,
Lynchburg,82126,07/01/2020,
West Virginia
Morgantown,30955,07/01/2020,
California
Davis,69289,07/07/2020,
Walnut,30006,07/07/2020,
Monterey Park,60401,08/17/2020,
Florida
Lauderdale Lakes,36324,08/18/2020,
Alabama
Alabaster,33340,08/25/2020,
Decatur,54264,08/25/2020,
Florence,40428,08/25/2020,
Hoover,85108,08/25/2020,
Huntsville,197318,08/25/2020,
Madison,50440,08/25/2020,
Opelika,30555,08/25/2020,
Phenix City,36435,08/25/2020,
Prattville,35662,08/25/2020,
Vestavia Hills,34461,08/25/2020,
Arizona
Avondale,85835,08/25/2020,
Buckeye,74370,08/25/2020,
Gilbert,248279,08/25/2020,
Glendale,250702,08/25/2020,
Marana,47007,08/25/2020,
Maricopa,50024,08/25/2020,
Mesa,508958,08/25/2020,
Scottsdale,255310,08/25/2020,
Surprise,138161,08/25/2020,
Florida
Daytona Beach,68866,08/25/2020,
Miami Gardens,113069,08/25/2020,
Palm Coast,87607,08/25/2020,
Titusville,46497,08/25/2020,
Hawaii
Hilo,200983,08/25/2020,
California
Alhambra,84649,09/01/2020,
Arkansas
Conway,66426,11/03/2020,
Fayetteville,86751,11/03/2020,
Jonesboro,76990,11/03/2020,
North Little Rock,66127,11/03/2020,
Pine Bluff,42271,11/03/2020,
Rogers,67600,11/03/2020,
Springdale,81029,11/03/2020,
Arizona
Apache Junction,41739,11/03/2020,
Casa Grande,57232,11/03/2020,
Flagstaff,73964,11/03/2020,
Phoenix,1660272,11/03/2020,
California
Antioch,111535,11/03/2020,
Atascadero,30330,11/03/2020,
Bakersfield,383579,11/03/2020,
Baldwin Park,75813,11/03/2020,
Berkeley,121643,11/03/2020,
